Date,Homicide and other related violations,Invitation to sexual touching,Sexual exploitation,Luring a child via a computer,Voyeurism,Non-consensual distribution of intimate images,Extortion,Criminal harassment,Indecent/Harassing communications,Uttering threats,Other violent violations,Fraud,Identity theft,Identity fraud,Mischief,Other non-violent violations,Fail to comply with order,Indecent acts,Child pornography,Making or distribution of child pornography,Corrupting morals,Breach of probation,Utter threats to property or animal,Offences against the person and reputation (Part VIII Criminal Code),Other Criminal Code,Other violations
20180422,0,0,1,13,2,7,1,36,13,2,7,209,2,8,3,3,6,1,20,35,0,3,0,6,1,1
20180429,0,2,0,10,1,10,17,32,6,21,0,74,3,6,4,5,2,1,5,25,1,3,1,0,2,0
20180506,0,0,1,12,0,23,31,51,67,36,5,541,3,37,4,6,1,1,4,31,1,3,2,1,5,2
20180513,0,3,1,48,0,1,52,49,62,51,4,351,11,31,4,5,7,0,15,79,0,3,1,2,6,0
20180520,0,1,0,45,3,8,71,27,104,66,1,567,12,37,0,3,7,0,6,7,0,0,2,4,1,2
20180527,0,1,0,39,1,4,55,22,94,67,4,494,9,52,5,4,3,1,4,107,1,2,1,3,4,2
20180603,0,4,0,21,1,7,45,21,61,79,11,435,8,41,3,0,4,0,12,77,0,3,0,3,5,0
20180610,0,2,1,41,2,3,37,22,91,77,10,311,5,52,1,7,5,0,19,110,0,2,1,4,5,2
20180617,0,3,0,7,1,3,36,27,37,30,8,110,2,17,1,3,8,0,7,73,0,3,1,2,5,0
20180624,0,1,1,20,3,12,38,37,64,9,1,298,3,1,5,4,17,0,14,9,0,0,1,5,3,2
